id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6884794,Rental unit in Florence · ★4.10 · 1 bedroom · 2 beds · 1 shared bath,6347000,Sonia,,Campo di Marte,43.78675,11.27405,Private room,70,2,10,2023-10-17,3.03,1,29,10,
6424722,Rental unit in Florence · 2 bedrooms · 3 beds · 2 baths,33519775,Antonio,,Centro Storico,43.76822,11.26476,Entire home/apt,,1,0,,,3,0,0,
6907408,Rental unit in Florence · ★4.89 · 1 bedroom · 1 bed · 1 bath,36198202,Chiara,,Centro Storico,43.76884,11.25767,Entire home/apt,92,3,290,2023-12-05,3.11,1,167,48,
6432302,Rental unit in Florence · 1 bedroom · 1 bed · 1 bath,33573898,Federico,,Campo di Marte,43.76943,11.2831,Private room,,3,0,,,1,0,0,
6923663,Rental unit in Florence · ★4.91 · 2 bedrooms · 2 beds · 1.5 baths,380378,Officina 360,,Centro Storico,43.7688,11.25393,Entire home/apt,169,1,202,2023-11-26,1.96,29,345,12,
6928101,Condo in Florence · ★4.13 · 3 bedrooms · 6 beds · 3 baths,4125114,Casa Rovai,,Centro Storico,43.77129,11.26365,Entire home/apt,650,2,24,2023-06-11,0.24,6,363,1,
6443111,Rental unit in Florence · 1 bedroom · 1 bed · 1 bath,26855513,Ceyhan,,Centro Storico,43.76996,11.25598,Private room,,11,0,,,1,0,0,
6928110,Condo in Florence · ★4.20 · Studio · 1 bed · 1 bath,36319501,Chiarella,,Campo di Marte,43.77622,11.29286,Entire home/apt,65,5,5,2023-07-29,0.05,1,19,2,048017LTN7054
6448877,Loft in Florence · ★4.73 · 2 bedrooms · 3 beds · 1 bath,25990948,Chiara,,Campo di Marte,43.785,11.26402,Entire home/apt,150,2,155,2023-10-19,1.49,2,215,21,048017ltn4102
6931900,Loft in Florence · ★4.91 · Studio · 1 bed · 1 bath,4695775,Stefano,,Centro Storico,43.77126,11.26352,Entire home/apt,97,3,841,2023-11-26,8.44,1,352,83,048017LTN10273
